Date,Lift,Sets,Reps,Weight (LBS)
2017/07/05,back-squats,3,8,135
2017/07/05,btn press,1,5,65
2017/07/05,btn press,2,5,85
2017/07/05,btn press,2,5,95
2017/07/09,deadlifts,3,5,275
2017/07/09,deadlifts,1,1,325
2017/07/09,bench,4,5,135
2017/07/09,bench,1,5,145
2017/07/10,back-squats,1,8,135
2017/07/10,back-squats,1,6,185
2017/07/10,back-squats,3,4,205
2017/07/15,btn-press,5,5,95
2017/07/15,curls,1,24,20
2017/07/15,curls,1,24,25
2017/07/15,back-squats,3,1,245
2017/07/17,bench,1,8,95
2017/07/17,bench,1,8,135
2017/07/17,bench,1,5,145
2017/07/17,bench,1,8,135
2017/07/17,seated-rows,3,16,70
2017/07/24,back-squats,1,5,95
2017/07/24,back-squats,1,5,135
2017/07/24,back-squats,1,5,185
2017/07/24,back-squats,3,5,205
2017/07/24,dumbbell rows,3,8,50
2017/07/26,bench,1,5,115
2017/07/26,bench,1,2,160
2017/07/26,bench,2,5,135
2017/07/26,bench,1,5,145
2017/07/26,chin-ups,3,5,160
2017/07/31,deadlifts,1,5,135
2017/07/31,deadlifts,1,5,225
2017/07/31,deadlifts,1,5,275
2017/07/31,deadlifts,2,5,295
2017/07/31,chin-ups,3,5,160
2017/08/01,back-squats,1,5,135
2017/08/01,back-squats,2,5,185
2017/08/01,back-squats,1,5,205
2017/08/01,back-squats,1,8,135
2017/08/02,back-squats,1,5,135
2017/08/02,back-squats,1,5,185
2017/08/02,back-squats,1,3,205
2017/08/02,back-squats,1,3,225
2017/08/02,back-squats,1,3,245
2017/08/02,back-squats,1,1,225
2017/08/02,bench,5,5,135
2017/08/07,dumbbell snatch,1,10,40
2017/08/07,dumbbell snatch,1,10,50
2017/08/07,dumbbell snatch,1,4,55
2017/08/07,deadlift,1,5,135
2017/08/07,deadlift,2,8,225
2017/08/07,deadlift,1,3,315
2017/08/07,chin-ups,3,5,160
2017/08/08,bench,1,5,95
2017/08/08,bench,1,5,135
2017/08/08,bench,3,5,145
2017/08/15,back-squats,1,8,135
2017/08/15,back-squats,1,5,185
2017/08/15,back-squats,1,5,205
2017/08/15,back-squats,1,2,205
2017/08/15,deadlift,1,8,135
2017/08/15,deadlift,1,5,225
2017/08/15,deadlift,1,2,295
2017/08/15,deadlift,1,6,225
2017/08/15,chin-ups,3,5,160
2017/08/20,back-squats,1,8,135
2017/08/20,back-squats,3,5,185
2017/08/20,bench,1,8,95
2017/08/20,bench,1,5,135
2017/08/20,bench,3,5,155
2017/09/09,back-squats,1,5,135
2017/09/09,back-squats,1,5,185
2017/09/09,back-squats,1,5,135
2017/09/09,incline-bench,5,5,115
2017/09/09,rack-pulls,3,3,295
2017/09/10,back-squats,1,5,135
2017/09/10,back-squats,1,5,185
2017/09/10,back-squats,1,2,225
2017/09/10,back-squats,1,2,245
2017/09/10,back-squats,1,1,275
2017/09/10,back-squats,1,3,305
2017/09/17,cleans,3,1,135
2017/09/17,cleans,1,1,155
2017/09/17,deadlifts,1,8,135
2017/09/17,deadlifts,2,2,225
2017/09/17,deadlifts,1,2,275
2017/09/17,deadlifts,1,1,315
2017/09/17,deadlifts,3,1,335
2017/09/17,bench,1,8,95
2017/09/17,bench,2,5,135
2017/09/17,bench,5,3,155
2017/09/19,back-squats,1,8,135
2017/09/19,back-squats,1,5,185
2017/09/19,back-squats,1,2,205
2017/09/19,back-squats,1,2,225
2017/09/19,back-squats,1,5,245
2017/09/19,back-squats,4,3,225
2017/09/19,btn press,3,5,75
2017/09/19,ohp,2,5,75
2017/09/19,ohp,1,8,75
2017/09/19,ohp,1,1,125
2017/09/21,cleans,3,3,115
2017/09/21,deadlifts,1,8,215
2017/09/21,deadlifts,1,8,225
2017/09/21,deadlifts,1,8,235
2017/10/04,back-squats,1,5,135
2017/10/04,back-squats,1,4,185
2017/10/04,back-squats,1,2,205
2017/10/04,back-squats,3,2,235
2017/10/06,cleans,3,1,115
2017/10/06,cleans,6,1,135
2017/10/06,front-squats,3,5,135
2017/10/10,cleans,2,1,115
2017/10/10,ohp,2,3,115
2017/10/10,deadlifts,1,8,115
2017/10/10,deadlifts,5,1,205
2017/10/10,deadlifts,4,5,225
2017/10/23,back-squats,3,8,135
2017/10/25,deadlifts (rdl),1,10,115
2017/10/25,deadlifts (rdl),1,5,205
2017/10/25,deadlifts (rdl),1,5,225
2017/10/25,deadlifts (rdl),1,5,245
2017/10/25,deadlifts (rdl),1,5,255
2017/10/25,ohp,3,4,115
2017/10/27,deadlifts,1,8,135
2017/10/27,deadlifts,1,5,225
2017/10/27,deadlifts,1,3,265
2017/10/27,deadlifts,1,2,295
2017/10/27,deadlifts,1,1,345
2017/10/27,ohp,2,3,115
2017/10/27,ohp,1,1,135
2017/10/28,btn press,3,5,115
2017/10/28,back-squats,1,8,135
2017/10/28,back-squats,3,8,185
2017/10/31,ohp,3,3,115
2017/10/31,deadlifts,1,8,115
2017/10/31,deadlifts,1,5,205
2017/10/31,deadlifts,1,3,225
2017/10/31,deadlifts,1,4,275
2017/10/31,deadlifts,1,4,295
2017/10/31,deadlifts,1,4,300
2017/10/31,deadlifts,1,4,305
2017/11/02,back-squats,1,8,135
2017/11/02,back-squats,1,8,165
2017/11/02,back-squats,1,5,185
2017/11/02,back-squats,3,8,205
2017/11/07,back-squats,1,5,135
2017/11/07,back-squats,1,5,185
2017/11/07,back-squats,1,5,205
2017/11/07,back-squats,1,5,225
2017/11/07,back-squats,1,1,245
2017/11/07,back-squats,1,1,265
2017/11/07,deadlifts,1,3,225
2017/11/07,deadlifts,1,2,295
2017/11/07,deadlifts,1,2,355
2017/11/09,back-squats (paused),1,5,135
2017/11/09,back-squats,1,12,135
2017/11/09,front-squats,5,5,135
2017/11/09,btn-press,4,1,135
2017/11/13,zercher (full),3,1,125
2017/11/13,zercher (full),2,1,215
2017/11/13,ohp,4,7,95
2017/11/16,back-squats,1,8,135
2017/11/16,back-squats,1,6,185
2017/11/16,back-squats,1,5,205
2017/11/16,back-squats,1,2,245
2017/11/16,back-squats,3,5,225
2017/11/17,back-squats (narrow),1,8,115
